Plot,Richness,Composition,Repetition,SOC,TN,NH4,NO3,AP,AK,MBC,B_chao,B_shannon,B_PC1,F_chao,F_shannon,F_PC1
1-1-1,1,1,1,3.394992335,0.5544,3.813199631,22.07514522,9.847174164,155.5,13.64184216,980.53719,5.092914,-0.600566842,202.75,2.802403,-0.271952961
1-1-2,1,1,2,2.945324476,0.5096,4.119350127,23.12858185,9.760668973,153.5,18.85196647,1235.673913,6.200266,-0.086364368,158.375,2.106372,-0.305298978
1-1-3,1,1,3,2.540623403,0.5544,4.686944362,22.65051817,9.183967705,153,1.606454997,1223.981481,5.819754,0.082626302,255.166667,2.789826,-0.160081736
1-1-4,1,1,4,3.484925907,0.4816,4.146404442,22.91838305,9.356978085,155.5,24.53968552,1220.5,5.91447,0.024477837,180,1.853176,-0.319515658
1-2-1,1,2,1,2.765457333,0.6104,4.104238276,22.51309864,9.183967705,144,13.66789278,1205.519231,6.027073,-0.25700002,197.05,1.060911,-0.432411119
1-2-2,1,2,2,3.260091978,0.5264,5.450973462,22.19465174,8.72260669,110,10.15974241,1171.302521,6.002551,0.104266497,195.75,3.05072,-0.220392061
1-2-3,1,2,3,4.204394481,0.5376,4.121835064,22.03229339,9.529988466,190,29.03775951,1152.109375,5.718041,0.123448192,173.333333,1.692918,-0.361269887
1-2-4,1,2,4,3.260091978,0.5264,4.822293395,21.62796184,8.145905421,150.5,24.00998955,1282.454545,6.209853,-0.060934301,137.058824,1.078898,-0.031861087
1-3-1,1,3,1,3.057741441,0.5544,4.168444412,20.08524816,9.356978085,177.5,24.72203987,1251.96124,6.055954,0.036866276,233.111111,2.966644,-0.226896776
1-3-2,1,3,2,3.12519162,0.504,4.47149778,24.65648168,9.097462514,169,18.11386553,1198.805556,5.923474,0.128438291,217.5,3.542703,-0.037546584
1-3-3,1,3,3,4.316811446,0.532,4.287153039,24.3925883,7.396193772,152,17.21946086,1226.78125,6.144443,-0.046936726,169.483871,0.952489,0.042094269
1-3-4,1,3,4,3.28257537,0.532,3.726585132,22.21822526,9.010957324,124.5,10.65470422,1244.625,6.169097,-0.258270492,190.714286,2.757267,-0.071418061
1-4-1,1,4,1,2.653040368,0.5264,4.217995111,22.96003077,9.010957324,151,8.787743009,1237.165354,6.096404,0.013340029,234.083333,3.041967,0.160436925
1-4-2,1,4,2,2.023505365,0.5152,4.675231246,21.83208689,9.991349481,164,53.8726854,1238.886792,5.970541,0.066307486,193.5,1.502862,-0.089931872
1-4-3,1,4,3,2.855390904,0.5152,3.477616108,23.2270842,9.616493656,131,29.04644305,1231.228261,6.174395,0.046106229,180.65,1.947429,0.275009391
1-4-4,1,4,4,3.5074093,0.5432,3.821808576,21.39651221,10.51038062,195,32.17251764,1201.521127,5.935372,-0.141104578,217.75,1.860008,-0.196716726
1-5-1,1,5,1,3.777210015,0.5376,3.665626546,22.57772159,9.328143022,166.5,8.30146474,1193.160305,6.087344,0.106883473,139,1.026691,0.36386823
1-5-2,1,5,2,4.047010731,0.5544,3.309872539,22.72467895,9.443483276,191,17.74915683,1203.416667,5.876625,0.125777943,186.142857,2.004188,0.377790315
1-5-3,1,5,3,2.338272867,0.4984,3.23891735,22.34253594,8.491926182,139,20.64945936,1185.529412,5.957809,-0.23694616,234.052632,2.63269,0.258030285
1-5-4,1,5,4,4.226877874,0.5376,3.439342595,22.43937791,11.57727797,172,10.88915982,1224.325581,5.918259,0.091577872,189.833333,2.034636,0.420602818
1-6-1,1,6,1,3.867143587,0.5376,3.499373611,23.02106987,9.558823529,185.5,15.64774002,1260.067164,5.783118,0.027424393,225.6,2.099019,-0.329332612
1-6-2,1,6,2,3.799693408,0.504,3.73779982,21.21912774,9.328143022,179.5,18.07044783,1158,5.831571,0.128693099,186.5,2.06858,-0.289814272
1-6-3,1,6,3,3.709759836,0.532,3.331005368,23.12359939,9.039792388,165,16.12533475,1206.795455,5.935696,-0.228144518,174.928571,2.216672,-0.237090751
1-6-4,1,6,4,3.799693408,0.5096,3.586343646,21.9271426,9.472318339,149,6.173997312,1252.68595,5.972884,0.064867259,171.551724,1.448653,-0.384109884
1-7-1,1,7,1,3.979560552,0.5208,3.291468721,22.4390121,9.385813149,181,14.54493038,1280.762887,6.210701,0.017507707,151,1.262589,-0.021470004
1-7-2,1,7,2,3.979560552,0.4984,3.435805581,21.60663016,9.558823529,143.5,12.91242476,1252.601351,5.905455,-0.020878676,207,3.142079,0.094675845
1-7-3,1,7,3,4.631578947,0.5208,3.513112764,21.01543301,9.097462514,172,9.734248926,1232.794326,5.961471,-0.046259097,233.615385,2.702038,0.251592023
1-7-4,1,7,4,3.754726622,0.5096,3.454855493,22.67353088,9.068627451,182.5,12.643235,1225.377049,5.947575,0.124936993,202.333333,3.352832,0.39231729
